IMG Genome ID 	Culture Collection	Genome Name	Domain	Phylum	Class	Order	Family	Genome Size (bp)	Gene Count	CDS Count	% Coding Bases	% G+C	No. of Scaffolds	Check M Completeness (%)	Gap (%)	N/L50	N/L90	CDS in KEGG	% CDS in KEGG	CDS in COG	% CDS in COG	CDS in Pfam	% CDS in Pfam	GenBank ID/Accession
2515154158	DSMZ	Gracilimonas tropica DSM 19535	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	3831242	3426	3373	90.89	42.94	48	99.89	0.001	4/281 KB	15/65 KB	780	23.12	1931	57.25	2561	75.93	AQXG00000000
2515154152	DSMZ	Balneola vulgaris DSM 17893	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	2857749	2521	2465	92.56	39.78	18	100	0	1/1666 KB	6/99 KB	681	27.63	1531	62.11	1996	80.97	AQXH00000000
2518645625	DSMZ	Alicyclobacillus pohliae DSM 22757	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	3365624	3629	3500	86.29	54.82	136	98.46	0	16/75 KB	56/12 KB	1087	31.06	2200	62.86	2758	78.80	AQXL00000000
2517572146	DSMZ	Acaricomes phytoseiuli DSM 14247	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	2419519	2387	2326	90.04	62.28	64	99.16	0	10/91 KB	31/21 KB	753	32.37	1493	64.19	1880	80.83	AQXM00000000
2517572248	DSMZ	Campylobacter curvus DSM 6644	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	1954904	1953	1909	92.37	44.27	8	99.88	0	2/468 KB	4/390 KB	721	37.77	1350	70.72	1591	83.34	AQXN00000000
2519103191	DSMZ	Alloscardovia criceti DSM 17774	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	1884654	1594	1532	89.19	50.06	11	99.77	0	2/473 KB	6/112 KB	549	35.84	1074	70.10	1298	84.73	AQXR00000000
2519103046	DSMZ	Henriciella marina DSM 19595	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	3277765	3260	3209	92.18	59.93	2	100	0	1/3274 KB	1/3274 KB	958	29.85	2237	69.71	2658	82.83	AQXT00000000
2519899688	DSMZ	Leeia oryzae DSM 17879	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	3785435	3526	3461	89.75	54.55	25	99.57	0	4/255 KB	13/118 KB	1302	37.62	2690	77.72	3104	89.69	AQXU00000000
2519103186	DSMZ	Methanothermococcus thermolithotrophicus DSM 2095	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	1686930	1750	1705	86.34	32.8	55	100	0	10/52 KB	33/15 KB	661	38.77	1228	72.02	1420	83.28	AQXV00000000
2521172561	DSMZ	Demetria terragena DSM 11295	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	3574772	3454	3394	93.78	64.74	4	100	0	1/2734 KB	3/204 KB	996	29.35	2326	68.53	2854	84.09	AQXW00000000
2519899685	DSMZ	Hahella ganghwensis DSM 17046	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	6564965	6233	6156	87.69	49.16	144	99.89	0	25/94 KB	74/26 KB	1520	24.69	3467	56.32	4611	74.90	AQXX00000000
2519103184	DSMZ	Smaragdicoccus niigatensis DSM 44881	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	5320466	5200	5136	92.95	64.34	19	98.76	0	3/657 KB	10/151 KB	1058	20.60	3147	61.27	4040	78.66	AQXZ00000000
2518645609	DSMZ	Streptococcus henryi DSM 19005	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2422509	2383	2332	87.19	38.59	37	100	0	6/148 KB	18/35 KB	759	32.55	1661	71.23	1985	85.12	AQYA00000000
2519103182	DSMZ	Streptococcus minor DSM 17118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1927889	1973	1911	89.89	41.1	33	99.88	0	2/219 KB	12/40 KB	659	34.48	1402	73.36	1633	85.45	AQYB00000000
2519899672	DSMZ	Gordonia kroppenstedtii DSM 45133	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	4226979	4079	4012	92.23	67.08	52	99.58	0	6/238 KB	19/63 KB	1044	26.02	2636	65.70	3341	83.28	AQYG00000000
2521172615	DSMZ	Kaistia granuli DSM 23481	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	4766107	4516	4452	89.10	65.9	20	100	0	5/396 KB	11/218 KB	1463	32.86	3465	77.83	3921	88.07	AQYH00000000
2519899636	ATCC	Microbulbifer variabilis ATCC 700307	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	4835674	4439	4368	83.66	48.84	29	99.03	0	4/508 KB	10/187 KB	1007	23.05	2574	58.93	3256	74.54	AQYJ00000000
2516493031	DSMZ	Actinopolyspora mortivallis HS-1, DSM 44261	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	4233350	3981	3909	86.55	68.76	1	100	0.041	1/4233 KB	1/4233 KB	1060	27.12	2357	60.30	3112	79.61	AQZN00000000
2516493023	DSMZ	Orenia marismortui DSM 5156	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	3459766	3326	3208	84.50	30.67	9	99.13	0.056	2/500 KB	6/241 KB	869	27.09	2013	62.75	2599	81.02	AQZS00000000
2516653049	DSMZ	Sporichthya polymorpha DSM 43042	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	5500153	5279	5223	92.33	71.37	1	100	0.055	1/5500 KB	1/5500 KB	1199	22.96	3195	61.17	4091	78.33	AQZX00000000
2516653073	DSMZ	Halomicrobium katesii DSM 19301	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	3607771	3876	3680	87.48	65	2	99.53	0.054	1/2964 KB	2/644 KB	835	22.69	1980	53.80	2453	66.66	AQZY00000000
2517093043	DSMZ	Succinispira mobilis DSM 6222	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	2085243	2002	1930	90.59	36.24	1	99.4	0.01	1/2085 KB	1/2085 KB	722	37.41	1481	76.74	1729	89.59	AQZZ00000000
2516493028	DSMZ	Allobaculum stercoricanis DSM 13633	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	2052877	1853	1748	84.30	37.83	1	98.11	0.01	1/2053 KB	1/2053 KB	553	31.64	1218	69.68	1435	82.09	ARAE00000000
2513237123	DSMZ	Capnocytophaga cynodegmi E6447, DSM 19736	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	2657104	2365	2318	89.51	34.39	37	100	0.017	7/130 KB	21/38 KB	588	25.37	1242	53.58	1756	75.75	ARAI00000000
2515154018	DSMZ	Corynebacterium lubricantis DSM 45231	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	2945964	2886	2818	91.02	58.54	59	99.78	0.02	7/165 KB	22/28 KB	826	29.31	1867	66.25	2296	81.48	ARAV00000000
2515154119	DSMZ	Fangia hongkongensis DSM 21703	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	unclassified	2946743	2816	2757	91.42	37.94	37	100	0.01	7/175 KB	20/42 KB	772	28.00	1625	58.94	2035	73.81	ARAW00000000
2515154143	DSMZ	Sciscionella marina DSM 45152	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	8536451	8212	8135	89.68	67.77	86	99.29	0.005	6/453 KB	31/67 KB	1872	23.01	5154	63.36	6623	81.41	ARAX00000000
2515154190	DSMZ	Wenxinia marina DSM 24838	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	4175892	4104	4045	89.78	70.54	41	99.39	0.011	8/194 KB	23/67 KB	1232	30.46	2815	69.59	3354	82.92	ARAY00000000
2515154015	DSMZ	Actinomycetospora chiangmaiensis DSM 45062	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	5861079	5756	5691	91.12	73.98	32	98.76	0.015	5/462 KB	16/107 KB	1312	23.05	3511	61.69	4494	78.97	ARBI00000000
2515154017	DSMZ	Actinoplanes globisporus DSM 43857	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	10988507	10116	10036	91.50	70.94	65	100	0.008	11/308 KB	37/106 KB	1885	18.78	5835	58.14	7844	78.16	ARBJ00000000
2515154026	DSMZ	Butyricimonas synergistica DSM 23225	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	4772389	3938	3870	91.72	44.84	17	100	0.003	2/881 KB	8/188 KB	716	18.50	1890	48.84	3082	79.64	ARBK00000000
2515154016	DSMZ	Catelliglobosispora koreensis DSM 44566	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	7688589	7606	7517	92.87	64.36	45	99.47	0.008	5/487 KB	14/205 KB	1382	18.38	4074	54.20	5605	74.56	ARBL00000000
2515154055	DSMZ	Corynebacterium caspium DSM 44850	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	1843677	1699	1637	90.96	49.69	8	98.13	0.039	3/421 KB	5/213 KB	579	35.37	1160	70.86	1364	83.32	ARBM00000000
2515154146	DSMZ	Cytophaga aurantiaca DSM 3654	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	4425125	3923	3874	90.09	37.05	47	100	0.062	8/251 KB	25/57 KB	831	21.45	1897	48.97	2711	69.98	ARBN00000000
2515154031	DSMZ	Enterococcus cecorum DSM 20682	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	2342793	2445	2363	87.80	36.31	48	99.17	0.176	8/110 KB	26/27 KB	776	32.84	1625	68.77	1939	82.06	ARBO00000000
2515154145	DSMZ	Flexithrix dorotheae DSM 6795	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	9536821	7446	7386	87.12	36.34	101	99.4	0.014	9/337 KB	35/50 KB	1147	15.53	3564	48.25	5440	73.65	ARBP00000000
2514885008	DSMZ	Gallibacterium anatis F149, DSM 16844	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	2436265	2467	2392	90.46	40	103	100	0.032	20/37 KB	65/13 KB	856	35.79	1759	73.54	2059	86.08	ARBQ00000000
2515154030	DSMZ	Lewinella cohaerens DSM 23179	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	7298817	5641	5590	88.78	44.99	89	99.5	0.026	12/229 KB	33/62 KB	899	16.08	2518	45.04	3850	68.87	ARBR00000000
2515154011	DSMZ	Longispora albida DSM 44784	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	6821241	6439	6362	90.82	70.28	27	100	0.001	5/570 KB	13/166 KB	1159	18.22	3415	53.68	4659	73.23	ARBS00000000
2515154147	DSMZ	Moraxella boevrei DSM 14165	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	2427214	2367	2313	88.37	40.07	43	99.81	0.007	8/121 KB	22/36 KB	720	31.13	1438	62.17	1796	77.65	ARBT00000000
2515154012	DSMZ	Mycobacterium hassiacum DSM 44199	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	5082325	4948	4882	91.81	69.37	99	99.77	0.048	13/145 KB	42/35 KB	1240	25.40	3176	65.06	3991	81.75	ARBU00000000
2515154141	DSMZ	Nonomuraea coxensis DSM 45129	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	8996452	8548	8463	90.87	72.22	101	99.89	0.009	15/206 KB	50/55 KB	1759	20.78	5114	60.43	6712	79.31	ARBV00000000
2515154191	DSMZ	Pasteurella pneumotropica DSM 21403	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	2259858	2154	2080	90.51	39.76	23	99.66	0.035	6/179 KB	14/67 KB	846	40.67	1649	79.28	1843	88.61	ARBW00000000
2515154110	DSMZ	Porphyromonas levii DSM 23370	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2518289	2322	2270	89.35	45.65	125	99.92	0.08	23/36 KB	75/10 KB	562	24.76	1127	49.65	1686	74.27	ARBX00000000
2517093006	DSMZ	Porphyromonas macacae DSM 20710	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2214526	1937	1881	89.01	43.6	31	99.92	0.031	5/109 KB	19/29 KB	566	30.09	1126	59.86	1524	81.02	ARBY00000000
2514885007	DSMZ	Prevotella nanceiensis DSM 19126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	2653714	2123	2069	86.29	38.34	13	99.32	0.059	2/751 KB	6/167 KB	538	26.00	1102	53.26	1635	79.02	ARBZ00000000
2515154033	DSMZ	Streptococcus caballi DSM 19004	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2122044	2177	2121	86.24	40.33	62	99.5	0.104	9/73 KB	31/21 KB	662	31.21	1469	69.26	1766	83.26	ARCA00000000
2515154028	DSMZ	Streptococcus didelphis DSM 15616	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1877438	1868	1802	88.95	35.77	15	99.62	0.033	2/258 KB	7/75 KB	655	36.35	1378	76.47	1608	89.23	ARCB00000000
2515154023	DSMZ	Streptococcus entericus DSM 14446	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2041668	2083	2020	88.79	44.62	34	98.13	0.038	6/104 KB	19/33 KB	560	27.72	1301	64.41	1618	80.10	ARCC00000000
2515154020	DSMZ	Streptococcus marimammalium DSM 18627	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1505444	1508	1435	89.53	33.11	25	99.62	0.205	3/192 KB	10/34 KB	523	36.45	1084	75.54	1241	86.48	ARCD00000000
2515154013	DSMZ	Streptococcus massiliensis DSM 18628	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1866132	1977	1932	90.06	41.49	85	98.94	0.106	16/34 KB	52/11 KB	655	33.90	1412	73.08	1692	87.58	ARCE00000000
2515154010	DSMZ	Streptococcus merionis DSM 19192	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2357340	2227	2155	84.54	41.69	24	100	0.02	5/155 KB	15/64 KB	781	36.24	1620	75.17	1902	88.26	ARCF00000000
2515154108	DSMZ	Streptococcus orisratti DSM 15617	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	2416134	2403	2357	85.69	38.51	90	99.88	0.045	16/51 KB	49/11 KB	701	29.74	1543	65.46	1920	81.46	ARCG00000000
